id,idtipo,nombre35,nombre50,nombre105,nombre105_ent_suc,observaciones,codigocif,siglavia,nombrevia,numerovia,restodom,codpostal,poblacion,provincia,codpais,servtasa,telefono,pendbaja,numfax,dirinternet,fchbaja,motbaja,codentsuc,fechactualiza,fechaalta,codaut,codprov,nomcomercial,indicativonc,bic,nomentmatriz,direntmatriz,locentmatriz,cpentmatriz,telentmatriz,faxentmatriz,internetentmatriz,cod_autonomia,anagrama
1946,4,"CAJA R. COMARCAL MOTA DEL CUERVO,SC","CAJA R. COMARCAL DE MOTA DEL CUERVO, S.C.L.C.A.","CAJA RURAL COMARCAL DE MOTA DEL CUERVO, SDAD. COOP. LTDA. CTO. AGRARIO",NULL,NULL,F16005324,PZ,MAYOR,9,NULL,16630,"MOTA DEL CUERVO",CUENCA,ES,NULL,967180471,NULL,967180401,NULL,NULL,NULL,0000,2008-02-18,1951-12-06,NULL,16,NULL,N,BCOEESMM116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,"C.R.MOTA CUERVO"
1947,4,"CAIXA R. D'ALGEMESI, S.C.V.C.","CAIXA R. D'ALGEMESI, S.C.V.C.","CAIXA RURAL D'ALGEMESI, S. COOP. V. DE CREDIT",NULL,NULL,F46043782,CL,"SAN JOSE DE CALASANZ",6,NULL,46680,ALGEMESI,VALENCIA,ES,NULL,962488030,NULL,962484511,WWW.CAJARURAL.COM/RURALES/3117,NULL,NULL,0000,2008-02-18,1944-11-02,NULL,46,NULL,N,BCOEESMM117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,C.R.D'ALGEMESI
1948,4,"CAIXA RURAL TORRENT C.C.V.","CAIXA RURAL TORRENT C.C.V.","CAIXA RURAL TORRENT COOPERATIVA DE CREDIT VALENCIANA",NULL,NULL,F46047809,AV,"AL VEDAT",3,NULL,46900,TORRENT,VALENCIA,ES,NULL,961550054,NULL,961575952,WWW.RURALTORRENT.COM,NULL,NULL,0000,2010-05-27,1969-08-30,NULL,46,NULL,N,BCOEESMM118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,C.R.TORRENT
1949,4,"CAJA R. S. JAIME ALQUERIAS SCCV","CAJA R. S. JAIME ALQUERIAS NIÑO PERDIDO S.C.C.V.","CAJA RURAL SAN JAIME DE ALQUERIAS NIÑO PERDIDO S. COOP. DE CREDITO V.",NULL,NULL,F12013298,CL,"JAIME CHICHARRO",24,NULL,12539,"ALQUERIAS NIÑO PERDIDO",CASTELLON,ES,NULL,964591717,NULL,964516001,NULL,NULL,NULL,0000,2011-05-24,1969-10-14,NULL,12,NULL,N,BCOEESMM119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,"C.R. S. JAIME"
1950,4,"CAJA R. DE CHESTE, S.C.C.","CAJA R. DE CHESTE, S.C.C.","CAJA RURAL DE CHESTE, SOCIEDAD COOPERATIVA DE CREDITO",NULL,NULL,F46025433,PZ,"DOCTOR CAJAL",2,NULL,46380,CHESTE,VALENCIA,ES,NULL,962515502,NULL,962515646,WWW.RURALVIA.COM/CHESTE,NULL,NULL,0000,2008-02-18,1945-04-20,NULL,46,NULL,N,BCOEESMM121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,"C.R. DE CHESTE"
1951,4,"CAIXA R. DE TURIS, C.C.V.","CAIXA R. DE TURIS, C.C.V.","CAIXA RURAL DE TURIS, COOPERATIVA DE CREDITO VALENCIANA",NULL,NULL,F46027504,PZ,CONSTITUCION,2,NULL,46389,TURIS,VALENCIA,ES,NULL,962526061,NULL,962526526,WWW.CAJARURAL.COM/RURALES/3123/,NULL,NULL,0000,2011-03-07,1963-10-23,NULL,46,NULL,N,CCRIES2A123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,"C.R. DE TURIS"
1952,4,"CAJA RURAL DE GODELLETA, C.C.V.","CAJA RURAL DE GODELLETA, COOP. CTO. VALENCIANA","CAJA RURAL DE GODELLETA, COOPERATIVA CREDITO VALENCIANA","CAJA RURAL DE LA VALENCIA CASTELLANA, SDAD. COOP. CTO. LTDA., DE REQUENA",NULL,F46025771,PZ,ESPAÑA,14,NULL,46388,GODELLETA,VALENCIA,ES,NULL,962526286,NULL,962527179,NULL,1993-07-02,"POR CESION GLOBAL DE ACTIVOS Y PASIVOS A",3094,2000-09-01,1947-06-30,NULL,46,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,CR.GODELLETA
1953,4,"C.R.CASAS IBAÑEZ,SCC CASTI-LAMANCHA","CAJA R. DE CASAS IBAÑEZ, S.C.C.CASTILLA-LA MANCHA","CAJA RURAL DE CASAS IBAÑEZ, S. COOP. DE CREDITO DE CASTILLA-LA MANCHA",NULL,NULL,F02004182,CL,TERCIA,49,NULL,2200,"CASAS IBAÑEZ",ALBACETE,ES,NULL,967460312,NULL,967460344,WWW.RURALVIA.COM/CASASIBANEZ,NULL,NULL,0000,2008-02-18,1962-11-10,NULL,2,NULL,N,BCOEESMM127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,C.R.CASASIBAÑEZ
1954,4,"CAJA R. DE LA RODA, S.C.C.CLM.","CAJA R. DE LA RODA, S.C.C. DE CASTILLA LA MANCHA","CAJA RURAL DE LA RODA, SOCIEDAD COOPERATIVA DE CREDITO DE CASTILLA LA MANCHA","CAJA RURAL DE ALBACETE, SOCIEDAD COOPERATIVA DE CREDITO",NULL,F02004596,AV,"RAMON Y CAJAL",13,NULL,2630,"LA RODA",ALBACETE,ES,NULL,967440508,NULL,967442795,WWW.RURALVIA.COM/LARODA,2011-02-09,"POR FUSION POR ABSORCION POR",3056,2011-02-09,1958-06-25,NULL,2,NULL,N,BCOEESMM128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,"C.R. DE LA RODA"
1955,4,"CAIXA R. SEGRE-CINCA, SCCCL","CAIXA R. SEGRE-CINCA, S.C.C.C.L.","CAIXA RURAL SEGRE-CINCA, SDAD. COOP. CATALANA CTO. LTDA.","CAJA RURAL DE HUESCA, S. COOP. DE CREDITO",NULL,F25015876,PG,"INDUSTRIAL EL SEGRE",NULL,NULL,25191,LLEIDA,NULL,ES,NULL,973201553,NULL,973201260,NULL,2000-01-10,"POR FUSION POR ABSORCION POR",3066,2001-10-26,1964-10-24,NULL,25,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,C.R.SEGRE-CINCA
